code,Date,Temperature (°C),Humidite_relative (%),Temperature_ressentie (°C),Probabilite_pluie (%),Precipitation (mm),Pression (0m)(hPa),Couverture_nuageuse (%),Visibility (m),Vitesse_vent (km/h),Index_UV,Air_quality (pm2.5),River_discharge (m3/s),Probabilité sècheresse,Probabilité canicule (%),Probabilité innondation,Indice,Etat_meteo
01,2023-04-28,15.5,86,15.1,100,0.0,1016.0,100,24140.0,9.6,0.0,11.6,1.88,0.0,0,0.2573953269229839,58.84388235633266,Night
03,2023-04-28,15.3,89,15.7,71,0.0,1016.0,99,8840.0,5.2,0.0,4.9,0.28,0.0,0,0.2644741758494237,40.26252203855618,Night
04,2023-04-28,11.2,82,10.2,0,0.0,1017.5,48,24140.0,3.6,0.0,8.0,0.53,0.0,0,0.2632367497323311,62.466865815920634,Foggy
05,2023-04-28,4.0,91,1.4,35,0.0,1018.0,100,24140.0,6.4,0.0,3.6,1.28,0.0,0,0.26079379757190624,40.089373985264324,Cloudy
06,2023-04-28,12.6,84,11.7,0,0.0,1016.1,100,24140.0,6.3,0.0,7.4,4.13,0.0,0,0.2476442904223445,40.960861314723786,Night
08,2023-04-28,10.3,94,9.4,0,0.0,1016.0,100,24140.0,5.4,0.0,4.9,153.17,0.0,0,0.3813724919492024,18.423902380873837,Foggy
09,2023-04-28,15.9,51,13.9,0,0.0,1014.7,100,24140.0,6.9,0.0,7.5,0.56,0.0,0,0.26528874052362506,45.33112198878376,Night
11,2023-04-28,12.5,98,11.6,0,0.0,1016.6,100,24140.0,10.6,0.0,6.3,28.79,0.0,0,0.14217671166777415,67.28842738831582,Foggy
12,2023-04-28,14.7,75,14.0,3,0.0,1014.9,77,24140.0,5.4,0.0,6.2,9.26,0.0,0,0.2253772970742969,68.13138063719181,Foggy
14,2023-04-28,10.5,95,9.4,0,0.0,1018.3,95,24140.0,6.6,0.0,5.9,20.68,0.0,0,0.17687954074773196,54.81425169649725,Foggy
16,2023-04-28,17.1,79,17.8,26,0.0,1016.1,100,24140.0,2.8,0.0,4.5,48.89,0.0,0,0.054622878986010794,65.16853847361145,Foggy
17,2023-04-28,16.9,80,17.1,29,0.0,1016.4,100,24140.0,5.7,0.0,5.2,104.2,0.0,0,0.1801460847964141,64.76951949850421,Foggy
25,2023-04-28,12.8,94,12.8,90,0.0,1015.7,100,22840.0,3.7,0.0,4.2,9.12,0.0,0,0.22662956043500007,46.104816830545964,Night
26,2023-04-28,14.2,79,13.3,3,0.0,1018.1,100,24140.0,7.5,0.0,8.7,6.5,0.0,0,0.2372775083118795,57.37875957123134,Foggy
28,2023-04-28,11.3,93,10.2,0,0.0,1017.5,100,24140.0,8.0,0.0,5.1,10.38,0.0,0,0.2211464570588413,64.6913394719867,Foggy
31,2023-04-28,14.4,94,15.5,3,0.0,1015.3,100,24140.0,0.5,0.0,8.3,0.37,0.0,0,0.2644578548814518,41.899019029768,Night
33,2023-04-28,19.2,82,19.9,39,0.0,1015.6,100,23080.0,9.6,0.0,5.4,432.51,0.0,0,1.3528818197486783,14.344276644008428,Foggy
34,2023-04-28,14.5,90,14.7,0,0.0,1016.4,100,24140.0,4.6,0.0,7.5,1.38,0.0,0,0.2597826394198698,49.45875536826475,Night
38,2023-04-28,16.1,81,14.5,87,0.0,1016.5,100,24140.0,17.0,0.0,12.2,2.7199999999999998,0.0,0,0.2536244414594459,31.202892195109527,Night
39,2023-04-28,13.7,96,14.0,100,0.0,1015.9,100,7820.0,4.7,0.0,4.7,4.8100000000000005,0.0,0,0.24543650857314248,60.281566988104,Night
41,2023-04-28,14.1,91,13.3,3,0.0,1016.9,100,24140.0,11.4,0.0,4.3,0.56,0.0,0,0.26340737803384834,29.562342801703007,Night
42,2023-04-28,15.3,91,15.5,100,2.2,1016.1,100,24140.0,7.6,0.0,5.6,0.75,67.07317073170732,0,0.2612878777841276,15.747296350137416,Night
43,2023-04-28,13.2,95,13.9,81,10.8,1017.0,100,13260.0,0.5,0.0,6.6,0.06,459.57446808510645,0,0.25990282109311286,29.78992091706746,Foggy
44,2023-04-28,13.2,96,12.4,32,0.0,1017.8,100,24140.0,10.8,0.0,7.2,0.78,0.0,0,0.26289326754275316,54.73197161516256,Cloudy
48,2023-04-28,13.0,90,12.6,0,0.0,1016.9,100,24140.0,6.0,0.0,6.1,0.63,0.0,0,0.26306463770645244,22.768301763138197,Night
