code,Date,Temperature (°C),Humidite_relative (%),Temperature_ressentie (°C),Probabilite_pluie (%),Precipitation (mm),Pression (0m)(hPa),Couverture_nuageuse (%),Visibility (m),Vitesse_vent (km/h),Index_UV,Air_quality (pm2.5),River_discharge (m3/s),Probabilité sècheresse,Probabilité canicule (%),Probabilité innondation,Indice,Etat_meteo
01,2023-04-28,16.8,79,17.4,100,0.2,1016.1,100,16740.0,2.6,0.0,8.1,1.88,60.60606060606061,0,0.2573288571423569,,
02,2023-04-28,12.0,85,10.7,1,0.0,1016.0,100,24140.0,7.8,0.0,3.9,1.9,0.0,0,0.2575484534660087,,
03,2023-04-28,17.4,85,18.3,100,0.3,1016.1,100,20220.0,5.5,0.0,3.6,0.28,13.157894736842104,0,0.264299556659351,,
04,2023-04-28,11.7,83,10.9,13,0.0,1018.5,65,24140.0,2.9,0.0,6.5,0.53,0.0,0,0.26343675083365214,,
05,2023-04-28,4.4,95,1.7000000000000002,41,0.0,1019.2,100,24140.0,8.6,0.0,3.7,1.28,0.0,0,0.2612838166065006,,
06,2023-04-28,13.2,81,12.7,0,0.0,1017.0,100,24140.0,4.0,0.0,9.1,4.13,0.0,0,0.24776677263038105,,
07,2023-04-28,14.0,80,12.5,16,0.0,1016.7,100,24140.0,12.0,0.0,5.3,1.03,0.0,0,0.2611658577704853,,
08,2023-04-28,11.5,84,10.2,6,0.0,1015.3,100,24140.0,7.1,0.0,3.5,153.17,0.0,0,0.3820985433574131,,
09,2023-04-28,16.0,64,14.5,1,0.0,1015.2,100,24140.0,8.8,0.0,7.9,0.56,0.0,0,0.2638425589047248,,
10,2023-04-28,16.7,88,17.6,24,0.0,1014.7,100,24140.0,4.2,0.0,6.4,0.81,0.0,0,0.26230909403652347,,
11,2023-04-28,12.5,99,12.2,1,0.0,1016.4,100,24140.0,7.1,0.0,5.4,28.79,0.0,0,0.14249259182360904,,
12,2023-04-28,16.5,75,16.6,2,0.0,1016.2,100,24140.0,3.2,0.0,5.9,9.26,0.0,0,0.22555415936534154,,
13,2023-04-28,17.4,73,17.7,0,0.0,1017.4,72,24140.0,3.2,0.0,9.0,0.97,0.0,0,0.26149747789437816,,
14,2023-04-28,12.8,91,12.0,0,0.0,1017.3,100,24140.0,8.2,0.0,4.3,20.68,0.0,0,0.1766553996203359,,
15,2023-04-28,14.8,82,15.2,10,0.1,1016.3,100,24140.0,1.1,0.0,4.3,2.91,5.405405405405405,0,0.2529703152455564,,
16,2023-04-28,19.5,75,18.7,42,0.0,1015.1,100,24140.0,16.6,0.0,4.3,48.89,0.0,0,0.05488033560188092,,
17,2023-04-28,18.9,81,18.5,30,0.0,1015.7,100,24140.0,15.3,0.0,5.0,104.2,0.0,0,0.17994009669040764,,
18,2023-04-28,17.2,88,18.1,43,0.0,1015.5,97,24140.0,5.5,0.0,4.0,0.97,0.0,0,0.26161395297145085,,
19,2023-04-28,20.1,77,21.4,3,0.5,1014.8,100,24140.0,5.4,0.0,4.3,3.25,43.85964912280702,0,0.25124841299151834,,
21,2023-04-28,14.4,90,14.7,33,0.0,1015.5,81,24140.0,3.5,0.0,3.2,1.34,0.0,0,0.26015615980937196,,
22,2023-04-28,10.6,96,9.7,1,0.0,1017.4,100,24140.0,6.6,0.0,4.3,3.25,0.0,0,0.25248512607100293,,
23,2023-04-28,16.6,81,16.8,77,0.0,1016.5,96,24140.0,5.9,0.0,4.1,0.63,0.0,0,0.2628721805556165,,
24,2023-04-28,21.4,69,21.3,13,0.0,1014.1,100,13360.0,13.0,0.0,5.0,34.65,0.0,0,0.11632501909442725,,
25,2023-04-28,13.1,89,12.7,100,0.2,1016.2,100,7040.0,6.0,0.0,3.2,9.12,4.576659038901601,0,0.22633313281072798,,
26,2023-04-28,14.2,82,13.4,0,0.0,1017.2,83,24140.0,8.0,0.0,8.4,6.5,0.0,0,0.23749916074072663,,
27,2023-04-28,11.7,88,10.4,0,0.0,1017.1,100,24140.0,8.7,0.0,5.3,0.81,0.0,0,0.26240850588574416,,
28,2023-04-28,14.4,83,13.2,3,0.0,1016.4,100,24140.0,12.0,0.0,3.3,10.38,0.0,0,0.22072971716025416,,
29,2023-04-28,12.0,90,11.7,1,0.0,1017.4,5,24140.0,3.4,0.0,5.4,1.22,0.0,0,0.2607370514357877,,
2A,2023-04-28,15.2,71,14.6,0,0.0,1018.4,100,24140.0,4.2,0.0,3.9,1.38,0.0,0,0.2598223140470633,,
2B,2023-04-28,11.5,69,9.6,0,0.0,1018.1,100,24140.0,6.2,0.0,8.2,2.7199999999999998,0.0,0,0.25421815651711754,,
30,2023-04-28,16.1,80,16.6,0,0.0,1017.3,100,24140.0,2.5,0.0,6.8,0.41000000000000003,0.0,0,0.2638210444000424,,
31,2023-04-28,16.3,86,16.0,0,0.0,1014.6,100,24140.0,10.4,0.0,7.6,0.37,0.0,0,0.26412669874242245,,
32,2023-04-28,18.3,80,18.5,0,0.0,1013.7,100,24140.0,9.4,0.0,7.5,0.66,0.0,0,0.2627327072149188,,
33,2023-04-28,21.9,72,22.2,66,0.0,1013.7,100,7320.0,13.5,0.0,6.2,432.51,0.0,0,1.3522810362858046,,
34,2023-04-28,15.3,87,15.6,4,0.0,1017.0,100,24140.0,5.0,0.0,6.1,1.38,0.0,0,0.2598045089397406,,
35,2023-04-28,11.7,90,9.8,0,0.0,1017.0,100,24140.0,12.8,0.0,4.7,1.62,0.0,0,0.2590151491817496,,
36,2023-04-28,17.1,87,17.8,52,0.0,1016.3,100,11820.0,6.4,0.0,3.8,7.13,0.0,0,0.23489738943313895,,
37,2023-04-28,17.2,86,17.6,13,0.3,1016.4,100,24140.0,8.0,0.0,6.2,12.74,76.92307692307692,0,0.2104116574665168,,
38,2023-04-28,17.2,78,14.9,40,1.8,1017.2,100,14780.0,23.2,0.0,11.0,2.7199999999999998,60.40268456375839,0,0.25275813771662275,,
39,2023-04-28,15.1,94,15.2,100,4.4,1015.9,100,8100.0,9.0,0.0,4.1,4.8100000000000005,110.00000000000001,0,0.24286962623705635,,
40,2023-04-28,22.2,73,24.0,35,0.0,1013.2,100,24140.0,5.7,0.0,6.0,1.47,0.0,0,0.25939350771236563,,
41,2023-04-28,16.7,84,16.9,1,0.0,1016.0,100,24140.0,7.1,0.0,5.0,0.56,0.0,0,0.26323273397890856,,
42,2023-04-28,16.3,87,16.4,81,0.8,1015.2,81,4600.0,8.7,0.0,4.9,0.75,24.39024390243903,0,0.26205611313664084,,
43,2023-04-28,14.5,82,14.4,37,0.0,1015.8,100,24140.0,3.2,0.0,6.8,0.06,0.0,0,0.26537973317028585,,
44,2023-04-28,15.5,96,15.8,20,0.0,1016.4,100,23620.0,8.5,0.0,7.6,0.78,0.0,0,0.26304874786990345,,
45,2023-04-28,15.8,91,16.4,2,0.0,1015.6,100,24140.0,5.6,0.0,4.5,0.16,0.0,0,0.2653129640178241,,
46,2023-04-28,20.4,75,21.5,0,0.0,1013.9,100,24140.0,6.3,0.0,5.0,3.03,0.0,0,0.2525377995135004,,
47,2023-04-28,21.1,88,23.8,7,0.0,1013.6,90,24140.0,4.2,0.0,7.1,2.18,0.0,0,0.2564089265973303,,
48,2023-04-28,14.7,84,15.1,1,0.0,1016.2,100,24140.0,1.5,0.0,6.2,0.63,0.0,0,0.26295156165909866,,
49,2023-04-28,17.0,81,17.4,5,0.0,1016.7,100,24140.0,4.9,0.0,5.7,585.14,0.0,0,1.809377460881785,,
50,2023-04-28,10.8,96,9.8,0,0.0,1017.9,100,24140.0,7.8,0.0,3.6,21.54,0.0,0,0.17345344782006458,,
51,2023-04-28,14.3,81,12.3,32,0.0,1015.4,100,24140.0,16.4,0.0,5.6,7.09,0.0,0,0.23493003212989788,,
