code,Date,Temperature (°C),Humidite_relative (%),Temperature_ressentie (°C),Probabilite_pluie (%),Precipitation (mm),Pression (0m)(hPa),Couverture_nuageuse (%),Visibility (m),Vitesse_vent (km/h),Index_UV,Air_quality (pm2.5),River_discharge (m3/s),Probabilité sècheresse,Probabilité canicule (%),Probabilité innondation,Indice,Etat_meteo
01,2023-04-28,16.1,85,15.7,100,0.0,1015.8,97,11440.0,10.5,0.0,8.6,1.88,0.0,0,0.25745316544000907,52.83360906654053,Night
68,2023-04-28,13.6,88,13.1,94,0.0,1015.0,100,24140.0,7.1,0.0,5.6,2.7199999999999998,0.0,0,0.2539849609967804,57.57700501550874,Night
25,2023-04-28,13.7,99,14.4,90,0.5,1016.1,99,13420.0,3.4,0.0,3.3,9.12,11.441647597254004,0,0.2269248058585492,45.84446299274454,Foggy
64,2023-04-28,14.8,92,14.9,16,0.0,1015.6,100,24140.0,7.3,0.0,8.0,62.24,0.0,0,0.0017867707448534372,67.0508879327199,Night
68,2023-04-28,13.6,88,13.1,94,0.0,1015.0,100,24140.0,7.1,0.0,5.6,2.7199999999999998,0.0,0,0.2539849609967804,57.57700501550874,Night
05,2023-04-28,4.2,100,1.8,35,0.0,1018.8,98,24140.0,6.8,0.0,4.1,1.28,0.0,0,0.26173667612561413,40.089373985264324,Cloudy
66,2023-04-28,14.4,94,14.5,0,0.0,1017.1,100,24140.0,6.7,0.0,7.5,15.07,0.0,0,0.20085698107075178,61.84196788225351,Foggy
09,2023-04-28,16.0,52,14.0,0,0.0,1014.9,100,24140.0,6.5,0.0,8.0,0.56,0.0,0,0.2651036865336009,42.862164689377515,Night
22,2023-04-28,10.4,95,9.3,0,0.0,1018.9,100,24140.0,7.0,0.0,4.4,3.25,0.0,0,0.2521768959756513,27.446110340844815,Night
64,2023-04-28,14.5,93,14.9,16,0.0,1016.3,100,24140.0,5.0,0.0,9.0,62.24,0.0,0,0.001812097431290639,67.99585777318619,Foggy
63,2023-04-28,18.0,83,19.3,55,0.2,1016.0,99,23340.0,2.9,0.0,10.3,2.4,8.733624454148472,0,0.2548972713544746,67.83264409229042,Foggy
59,2023-04-28,11.3,94,10.2,0,0.0,1016.4,92,24140.0,8.4,0.0,10.9,3.41,0.0,0,0.2513593738410819,67.46791695955665,Foggy
05,2023-04-28,4.0,90,1.1,35,0.0,1018.5,55,24140.0,7.8,0.0,3.7,1.28,0.0,0,0.2607052394048728,40.089373985264324,Sunny
38,2023-04-28,16.3,80,15.9,87,0.2,1015.8,98,12540.0,9.0,0.0,12.3,2.7199999999999998,6.7114093959731544,0,0.2534743970767045,62.902122153179505,Foggy
64,2023-04-28,14.5,93,14.9,16,0.0,1016.3,100,24140.0,5.0,0.0,9.0,62.24,0.0,0,0.001812097431290639,67.99585777318619,Foggy
57,2023-04-28,13.0,86,12.0,16,0.0,1014.7,100,24140.0,8.5,0.0,6.8,3.69,0.0,0,0.24958411933289398,40.08792364061023,Night
01,2023-04-28,15.7,88,16.3,100,0.0,1016.2,100,14600.0,3.8,0.0,10.2,1.88,0.0,0,0.25746185757879814,54.8027656121001,Foggy
38,2023-04-28,16.3,80,15.9,87,0.2,1015.8,98,12540.0,9.0,0.0,12.3,2.7199999999999998,6.7114093959731544,0,0.2534743970767045,62.902122153179505,Rainy
38,2023-04-28,16.3,80,15.9,87,0.2,1015.8,98,12540.0,9.0,0.0,12.3,2.7199999999999998,6.7114093959731544,0,0.2534743970767045,62.902122153179505,Cloudy
