code,Date,Temperature (°C),Humidite_relative (%),Temperature_ressentie (°C),Probabilite_pluie (%),Precipitation (mm),Pression (0m)(hPa),Couverture_nuageuse (%),Visibility (m),Vitesse_vent (km/h),Index_UV,Air_quality (pm2.5),River_discharge (m3/s),Probabilité sècheresse,Probabilité canicule (%),Probabilité innondation,Indice,Etat_meteo
01,2023-04-27,20.4,44,19.4,0,0.0,1015.9,93,24140.0,4.5,3.75,4.6,2.34,0.0,False,0.25736882965919305,27.054700534503578,
02,2023-04-27,16.1,53,14.3,4,0.0,1016.6,100,24140.0,6.2,4.7,11.5,1.94,0.0,False,0.2574691402561013,31.087078830957743,
03,2023-04-27,17.1,70,15.7,41,0.1,1016.2,100,24140.0,13.0,4.15,2.5,0.31,4.385964912280702,False,0.2627164990365821,27.643010588788524,
04,2023-04-27,16.4,46,11.7,0,0.0,1016.1,100,24140.0,23.4,4.8,1.9,0.59,0.0,False,0.26453174931988876,51.68027943335376,
05,2023-04-27,4.5,65,0.2,7,0.0,1017.6,100,24140.0,16.9,6.5,1.9,0.0,0.0,False,0.26496122728294674,35.315279092904106,
06,2023-04-27,18.6,50,17.5,0,0.0,1016.4,100,24140.0,10.7,5.35,7.9,4.5,0.0,False,0.2468599943105182,44.29530623423991,
07,2023-04-27,14.7,71,13.4,51,0.6,1017.0,100,17460.0,8.7,0.8,2.9,1.47,29.85074626865672,False,0.25736288532752455,47.10263235922527,
08,2023-04-27,15.7,54,14.0,7,0.0,1017.0,100,24140.0,7.4,4.8,10.1,151.76,0.0,False,0.3768356312739674,18.423902380873837,
09,2023-04-27,17.9,65,17.2,77,0.0,1016.2,100,13140.0,7.0,6.0,2.8,0.91,0.0,False,0.26051263807043823,30.888606655924278,
10,2023-04-27,19.2,47,17.3,11,0.0,1015.8,100,24140.0,8.9,5.4,5.9,0.85,0.0,False,0.26321805202112203,NULL,
11,2023-04-27,21.7,62,21.4,2,0.0,1015.1,100,24140.0,11.2,5.8,3.7,30.41,0.0,False,0.13325044137679148,26.265890252182693,
