Code,coordonnees,indice,temperature,humidite,pression,weather
17,"[45.73022675, -0.7212875872563794]",37.24116854703325,11.1,89.3,1016.3,Cloudy
33,"[44.883745950000005, -0.6051264440438711]",33.44289489817603,11.9,96.0,1016.0,Rainy
42,"[45.75385355, 4.045473682551104]",35.20280580716855,8.9,76.0,1015.6,Cloudy
54,"[48.95596825, 5.987038299756556]",37.90945631004294,6.5,87.4,1013.1,Cloudy
59,"[50.52896715, 3.0883523694464854]",31.474948767855093,6.7,81.3,1015.4,Cloudy
64,"[43.18718655, -0.728247400084667]",45.42810485360509,14.4,90.6,1016.3,Sunny
73,"[45.494895150000005, 6.384660381375652]",35.774022446724636,-3.5,97.6,1016.0,Foggy
75,"[48.8534951, 2.3483915]",31.012829377304875,7.6,87.2,1015.1,Cloudy
11,"[43.0542733, 2.512471457499548]",47.212388440289715,15.5,77.7,1015.5,Cloudy
17,"[45.73022675, -0.7212875872563794]",38.77850262694133,13.0,75.8,1017.1,Cloudy
42,"[45.75385355, 4.045473682551104]",37.15941041464654,13.9,42.5,1015.6,Cloudy
54,"[48.95596825, 5.987038299756556]",13.491212735026362,7.5,76.9,1015.5,Cloudy
57,"[49.0207259, 6.538035170357949]",35.22267249117253,8.4,75.3,1015.1,Cloudy
64,"[43.18718655, -0.728247400084667]",68.24894575791812,15.1,90.3,1017.7,Night
