Code,etat
11,Rainy
17,Cloudy
54,Rainy
74,Cloudy
34,Cloudy
54,Cloudy
42,Rainy
73,Cloudy
57,Cloudy
33,Cloudy
75,Cloudy
59,Sunny
74,Cloudy
64,Rainy
41,Cloudy
54,Cloudy
47,Rainy
85,Cloudy
29,Rainy
2,Cloudy
30,Cloudy
50,Cloudy
85,Cloudy
14,Sunny
2,Cloudy
61,Rainy
63,Cloudy
03,Cloudy
05,Rainy
59,Cloudy
34,Sunny
69,Rainy
68,Rainy
91,Cloudy
57,Cloudy
64,Foggy
59,Cloudy
68,Rainy
64,Sunny
73,Rainy
57,Cloudy
05,Rainy
38,Cloudy
17,Foggy
63,Rainy
64,Rainy
63,Rainy
46,Cloudy
42,Cloudy
64,Rainy
03,Foggy
68,Cloudy
25,Cloudy
44,Cloudy
64,Rainy
01,Cloudy
42,Cloudy
11,Cloudy
67,Foggy
06,Rainy
74,Rainy
19,Sunny
60,Sunny
12,Rainy
67,Cloudy
81,Rainy
90,Foggy
66,Rainy
01,Cloudy
08,Sunny
38,Rainy
31,Rainy
38,Cloudy
63,Rainy
25,Cloudy
72,Sunny
06,Rainy
63,Rainy
59,Foggy
84,Foggy
01,Cloudy
64,Cloudy
17,Cloudy
06,Cloudy
79,Foggy
73,Cloudy
01,Cloudy
69,Rainy
76,Sunny
64,Foggy
30,Rainy
11,Cloudy
04,Foggy
69,Sunny
30,Cloudy
69,Rainy
11,Rainy
73,Cloudy
38,Foggy
64,Sunny
73,Cloudy
64,Foggy
19,Cloudy
09,Rainy
25,Cloudy
66,Cloudy
73,Foggy
82,Rainy
43,Rainy
34,Cloudy
45,Cloudy
53,Cloudy
68,Rainy
69,Cloudy
84,Rainy
48,Cloudy
25,Sunny
64,Foggy
56,Rainy
25,Rainy
09,Rainy
88,Cloudy
59,Cloudy
71,Cloudy
16,Sunny
76,Cloudy
57,Rainy
68,Rainy
06,Rainy
69,Rainy
74,Rainy
41,Rainy
17,Rainy
81,Rainy
07,Rainy
43,Cloudy
30,Cloudy
22,Cloudy
87,Cloudy
05,Rainy
25,Rainy
65,Cloudy
01,Cloudy
05,Foggy
80,Cloudy
60,Cloudy
17,Cloudy
43,Cloudy
68,Rainy
44,Rainy
85,Rainy
24,Cloudy
73,Cloudy
77,Cloudy
69,Rainy
40,Cloudy
88,Rainy
26,Cloudy
85,Rainy
83,Cloudy
39,Rainy
59,Cloudy
91,Cloudy
78,Cloudy
74,Cloudy
38,Rainy
07,Rainy
26,Rainy
65,Cloudy
13,Cloudy
41,Cloudy
28,Cloudy
05,Rainy
25,Sunny
22,Rainy
02,Cloudy
59,Rainy
56,Cloudy
11,Sunny
38,Cloudy
28,Cloudy
34,Cloudy
59,Cloudy
91,Sunny
16,Cloudy
42,Rainy
69,Cloudy
75,Cloudy
86,Cloudy
17,Rainy
06,Rainy
43,Rainy
22,Rainy
65,Rainy
83,Cloudy
