Code,Temperature,Humidite,Pression,etat,air_quality (pm2.5),river_discharge (m3/s),probabilite_pluie (%),precipitation (mm),pression (hPa),couverture_nuageuse (%),visibility (m),vitesse_vent (km/h),index_ux,Probabilité sècheresse,Probabilité canicule (%),Probabilité innondation
01,9.8,62.8,1019.1,Cloudy,13.0,1.88,0,0.0,1001.6,93,24140.0,5.5,6.2,0.0,False,1530.74
02,9.8,62.8,1019.1,Cloudy,13.0,1.88,0,0.0,1001.6,93,24140.0,5.5,6.2,0.0,False,1530.74
03,11.5,70.0,1017.1,Cloudy,7.9,0.41,6,0.0,971.2,88,24140.0,14.0,1.6,0.0,False,1532.155
04,13.7,26.3,1013.9,Cloudy,4.1,0.66,0,0.0,885.7,3,24140.0,13.4,6.9,0.0,False,1531.897
05,2.5,40.6,1014.3,Cloudy,3.6,0.06,0,0.0,749.4,0,24140.0,13.5,7.95,0.0,False,1532.621
06,19.3,30.8,1014.0,Cloudy,4.7,4.87,0,0.0,947.8,0,24140.0,17.6,6.2,0.0,False,1527.793
07,13.9,53.1,1016.0,Cloudy,2.1,2.85,0,0.0,925.4,100,24140.0,11.3,6.7,0.0,False,1529.765
08,9.4,55.1,1019.1,Cloudy,11.6,155.68,0,0.0,994.8,92,24140.0,1.0,5.75,0.0,False,1384.731
09,12.4,75.7,1017.5,Cloudy,2.7,0.59,68,0.0,879.3,100,11840.0,8.4,6.85,0.0,False,1531.973
10,10.2,73.8,1018.5,,9.6,0.87,0,0.0,1001.5,100,24140.0,1.8,5.95,0.0,False,1531.719
11,16.4,74.2,1017.3,Cloudy,2.1,29.83,0,0.0,954.4,100,24140.0,10.5,5.85,0.0,False,1503.576
12,12.1,84.5,1017.8,Cloudy,3.4,11.39,19,0.0,944.1,100,24140.0,16.9,5.5,0.0,False,1521.474
13,20.8,29.4,1015.5,Cloudy,4.7,1.0,0,0.0,1014.1,100,24140.0,23.3,6.9,0.0,False,1531.563
14,10.0,75.2,1016.7,Cloudy,12.0,25.24,6,0.0,1009.6,100,24140.0,14.0,1.3,0.0,False,1508.058
15,8.5,92.9,1017.7,,3.0,3.47,0,0.0,883.6,100,24140.0,13.7,6.8,0.0,False,1529.208
16,14.7,83.3,1016.7,Cloudy,2.7,56.41,84,0.0,1008.7,100,24140.0,15.8,5.6,0.0,False,1477.95
17,15.1,83.5,1016.6,Cloudy,2.9,95.16,19,0.0,1011.6,100,24140.0,15.1,6.05,0.0,False,1440.974
18,11.1,75.2,1016.9,,8.5,1.22,23,0.0,997.8,89,24140.0,9.8,1.85,0.0,False,1531.37
19,12.7,85.0,1017.4,Cloudy,5.0,4.0,19,0.0,985.2,100,24140.0,9.0,3.45,0.0,False,1528.653
21,11.5,58.8,1017.6,,7.3,1.4,0,0.0,953.9,100,24140.0,9.9,5.95,0.0,False,1531.192
22,12.5,84.2,1014.4,Cloudy,4.4,1.62,3,0.0,998.6,100,24140.0,2.1,3.2,0.0,False,1530.97
23,13.9,69.2,1016.0,,2.2,0.75,68,0.0,954.4,100,24140.0,16.5,3.45,0.0,False,1531.809
24,14.2,92.7,1017.0,Sunny,3.6,38.63,65,0.0,1001.9,99,22380.0,13.3,6.05,0.0,False,1495.077
25,11.4,50.7,1017.3,Cloudy,6.0,9.84,0,0.0,934.4,100,24140.0,10.2,5.9,0.0,False,1522.985
26,14.8,43.9,1016.0,Cloudy,3.8,11.16,0,0.0,957.1,3,24140.0,18.4,6.65,0.0,False,1521.682
27,8.6,75.3,1017.9,,17.3,1.06,3,0.0,999.5,100,24140.0,12.1,0.95,0.0,False,1531.551
28,9.8,76.7,1017.3,Cloudy,11.0,11.76,23,0.0,996.7,100,24140.0,11.2,2.15,0.0,False,1521.135
29,14.1,83.6,1014.3,Cloudy,4.6,1.34,6,0.0,1001.1,100,24140.0,9.9,5.9,0.0,False,1531.234
2A,18.2,55.6,1013.7,,4.8,1.56,0,0.0,959.4,100,24140.0,11.0,7.3,0.0,False,1531.012
2B,12.9,47.6,1013.5,,4.0,3.06,0,0.0,838.2,100,24140.0,13.0,7.55,0.0,False,1529.566
30,18.9,39.4,1016.2,Cloudy,3.5,0.41,0,0.0,1004.5,100,24140.0,5.9,6.6,0.0,False,1532.132
31,16.4,78.7,1017.8,Cloudy,4.1,0.31,3,0.0,979.4,94,24140.0,12.2,3.9,0.0,False,1532.229
32,16.8,79.5,1017.6,Cloudy,3.9,0.81,10,0.0,997.0,97,24140.0,12.4,4.85,0.0,False,1531.742
33,16.1,78.6,1017.1,Cloudy,5.1,333.2,39,0.0,1014.4,100,24140.0,12.3,5.75,0.0,False,1239.275
34,18.9,55.8,1016.4,Cloudy,1.5,1.69,0,0.0,998.5,100,24140.0,17.8,6.7,0.0,False,1530.886
35,13.0,76.1,1015.3,,7.6,2.03,3,0.0,1009.4,100,24140.0,10.5,2.25,0.0,False,1530.568
36,14.4,75.7,1016.1,Cloudy,4.1,8.66,71,0.0,999.0,100,17600.0,12.6,1.1,0.0,False,1524.113
37,13.8,74.6,1016.0,Cloudy,5.2,16.5,10,0.0,1003.0,100,24140.0,12.9,2.15,0.0,False,1516.502
38,15.5,44.1,1016.7,Cloudy,6.5,2.85,0,0.0,991.9,0,24140.0,12.3,6.75,0.0,False,1529.759
39,11.7,51.5,1017.3,Cloudy,6.3,6.0,0,0.0,954.3,95,24140.0,8.7,5.9,0.0,False,1526.715
40,16.3,83.9,1017.5,Cloudy,2.8,1.59,16,0.0,1008.0,100,24140.0,5.8,4.05,0.0,False,1530.983
41,10.8,77.1,1016.7,Cloudy,9.4,0.75,0,0.0,1002.8,100,24140.0,7.9,0.55,0.0,False,1531.83
42,13.9,58.7,1017.0,Cloudy,8.8,1.75,0,0.0,972.8,100,24140.0,5.1,6.9,0.0,False,1530.836
43,12.4,61.8,1016.3,Cloudy,2.2,0.06,0,0.0,925.8,52,24140.0,15.8,5.75,0.0,False,1532.489
44,15.6,77.7,1015.3,Cloudy,3.1,0.91,32,0.0,1004.4,100,24140.0,20.5,4.6,0.0,False,1531.647
45,10.7,76.7,1017.4,Cloudy,9.4,0.19,16,0.0,1000.5,100,24140.0,5.5,1.9,0.0,False,1532.376
46,13.1,92.4,1017.5,Cloudy,4.7,3.22,29,0.0,976.3,100,24140.0,9.0,3.7,0.0,False,1529.41
47,16.7,78.9,1017.2,Cloudy,3.7,1.94,32,0.0,1012.2,96,23480.0,11.1,4.15,0.0,False,1530.642
48,12.0,73.8,1016.9,Cloudy,2.0,0.97,0,0.0,920.5,100,24140.0,14.5,6.95,0.0,False,1531.606
49,14.6,77.6,1015.5,,3.9,574.44,10,0.0,1005.7,100,24140.0,14.8,3.35,0.0,False,1073.377
50,10.3,76.6,1015.9,Cloudy,9.3,26.54,0,0.0,1005.4,93,24140.0,11.4,1.2,0.0,False,1506.796
51,10.8,59.2,1018.7,,14.3,7.22,0,0.0,1005.8,81,24140.0,4.6,6.2,0.0,False,1525.537
52,9.9,61.8,1018.2,,8.6,4.35,0,0.0,972.6,93,24140.0,4.1,5.35,0.0,False,1528.336
53,11.1,77.6,1016.1,Cloudy,9.3,4.5600000000000005,0,0.0,1000.1,97,24140.0,9.7,1.15,0.0,False,1528.121
54,9.4,52.0,1018.9,Cloudy,12.2,103.23,0,0.0,973.2,98,24140.0,6.0,5.55,0.0,False,1433.399
55,8.9,56.1,1018.9,,12.5,55.1,0,0.0,993.0,100,24140.0,4.1,5.75,0.0,False,1479.258
56,14.9,80.0,1014.7,Cloudy,3.8,1.97,10,0.0,1005.8,100,24140.0,13.0,2.65,0.0,False,1530.617
57,9.9,53.4,1018.9,Cloudy,13.5,2.4,0,0.0,986.2,100,24140.0,3.6,6.0,0.0,False,1530.233
58,12.1,64.2,1017.3,,7.3,0.63,10,0.0,985.6,98,24140.0,9.7,1.45,0.0,False,1531.936
59,9.4,55.2,1019.9,Cloudy,10.5,3.75,0,0.0,1013.1,76,24140.0,8.3,6.0,0.0,False,1528.925
60,9.8,67.8,1018.9,,13.3,1.44,0,0.0,1010.8,97,24140.0,9.0,6.25,0.0,False,1531.168
61,9.2,76.8,1016.6,Cloudy,10.2,5.75,3,0.0,986.8,100,24140.0,11.7,2.1,0.0,False,1526.982
62,9.2,53.6,1019.6,,12.4,1.75,0,0.0,998.3,72,24140.0,11.2,5.8,0.0,False,1530.873
63,15.2,60.0,1016.1,Cloudy,2.7,3.47,10,0.0,970.4,100,24140.0,12.3,6.2,0.0,False,1529.157
64,18.3,75.3,1017.4,Cloudy,2.4,58.02,42,0.0,981.9,100,24140.0,8.0,6.3,0.0,False,1476.398
65,16.9,79.6,1017.6,Cloudy,3.7,2.18,19,0.0,967.5,100,24140.0,9.7,5.45,0.0,False,1530.408
66,20.2,63.3,1016.8,Cloudy,2.8,13.86,0,0.0,981.0,100,24140.0,14.9,5.35,0.0,False,1519.059
67,10.3,61.3,1018.8,Cloudy,20.9,1.09,0,0.0,995.6,100,24140.0,4.2,4.4,0.0,False,1531.504
68,10.7,68.0,1018.5,Cloudy,18.9,2.22,0,0.0,987.5,100,24140.0,7.0,5.25,0.0,False,1530.4
69,13.8,53.8,1017.4,Cloudy,9.4,2.0,0,0.0,972.7,87,24140.0,3.3,6.85,0.0,False,1530.593
70,12.4,58.5,1017.7,,8.4,4.15,0,0.0,991.7,89,24140.0,5.8,5.55,0.0,False,1528.509
71,11.4,68.4,1017.9,Cloudy,7.0,2.16,3,0.0,982.6,99,24140.0,3.4,3.65,0.0,False,1530.453
72,10.5,79.2,1016.3,Cloudy,10.3,14.78,0,0.0,1002.2,100,24140.0,9.4,0.65,0.0,False,1518.196
73,3.4,48.5,1016.0,Cloudy,4.5,39.93,0,0.0,777.1,18,24140.0,17.1,7.2,0.0,False,1493.957
74,12.6,59.5,1017.1,Cloudy,6.3,5.03,0,0.0,962.5,79,24140.0,7.5,6.4,0.0,False,1527.652
75,9.9,70.5,1018.4,Cloudy,16.5,440.57,0,0.0,1012.2,100,24140.0,5.7,4.15,0.0,False,1163.448
76,9.5,66.9,1018.2,Cloudy,14.2,3.84,0,0.0,1000.8,85,24140.0,13.1,5.0,0.0,False,1528.836
77,9.0,76.3,1018.5,Cloudy,12.5,1.81,0,0.0,1001.2,100,24140.0,5.7,4.5,0.0,False,1530.817
78,9.2,71.6,1018.1,Cloudy,16.8,2.78,0,0.0,1002.9,100,24140.0,10.2,1.05,0.0,False,1529.871
79,15.5,70.8,1015.8,Cloudy,3.4,1.34,68,0.0,991.2,72,24140.0,15.6,4.9,0.0,False,1531.228
80,9.6,60.4,1019.3,Cloudy,13.0,1.94,0,0.0,1006.7,85,24140.0,9.4,6.15,0.0,False,1530.684
81,13.8,89.1,1018.0,Cloudy,6.2,1.12,13,0.0,995.0,88,24140.0,9.3,1.55,0.0,False,1531.449
82,16.1,83.7,1017.4,Cloudy,5.5,1.34,32,0.0,1006.4,99,24140.0,9.6,1.7000000000000002,0.0,False,1531.227
83,21.1,22.8,1014.1,Cloudy,4.0,7.04,0,0.0,986.6,100,24140.0,6.2,6.95,0.0,False,1525.689
84,19.3,25.6,1014.8,Cloudy,3.8,0.06,0,0.0,969.8,23,24140.0,19.7,6.9,0.0,False,1532.473
85,14.9,80.4,1015.9,Cloudy,2.5,0.91,39,0.0,1004.9,100,24140.0,14.2,5.45,0.0,False,1531.649
86,15.3,74.1,1015.8,Cloudy,3.5,79.54,84,0.0,998.4,98,24140.0,17.5,2.95,0.0,False,1455.812
87,12.9,83.9,1016.7,,3.2,1.34,71,0.0,970.5,94,20120.0,12.7,1.0,0.0,False,1531.24
