code,Date,Temperature (°C),Humidite_relative (%),Temperature_ressentie (°C),Probabilite_pluie (%),Precipitation (mm),Pression (0m)(hPa),Couverture_nuageuse (%),Visibility (m),Vitesse_vent (km/h),Index_UV,Air_quality (pm2.5),River_discharge (m3/s),Probabilité sècheresse,Probabilité canicule (%),Probabilité innondation,Indice,Etat_meteo
01,2023-06-02,19.6,82,21.4,24,1.9,1015.1,100,24140.0,2.9,0.7000000000000001,,0.97,197.91666666666669,0,0.22657653290215501,,
02,2023-06-02,17.8,64,16.4,5,0.0,1018.7,0,24140.0,11.8,0.85,,1.0,0.0,0,0.22822158903026984,,
03,2023-06-02,18.2,87,19.8,26,0.1,1016.1,87,21080.0,3.4,0.8,,0.22,2.538071065989848,0,0.23110402990578582,,
04,2023-06-02,12.9,86,12.4,64,0.0,1017.4,100,18880.0,5.0,0.55,,7.2,0.0,0,0.20037513778023502,,
05,2023-06-02,5.7,89,3.7,93,0.0,1018.7,80,17120.0,3.8,0.25,,7.37,0.0,0,0.20013613192438093,,
06,2023-06-02,18.0,81,18.8,55,0.0,1015.9,33,24140.0,5.4,0.55,,14.65,0.0,0,0.16733484725122744,,
07,2023-06-02,15.5,86,15.8,42,0.0,1016.9,100,11800.0,5.4,0.7000000000000001,,2.74,0.0,0,0.22000387186614417,,
08,2023-06-02,17.5,66,16.3,4,0.0,1018.8,61,24140.0,10.5,0.8,,52.77,0.0,0,0.000688770604025885,,
09,2023-06-02,13.1,85,12.6,87,0.0,1016.4,90,17340.0,4.7,0.0,,3.64,0.0,0,0.2160406102057652,,
10,2023-06-02,21.3,48,19.5,3,0.0,1016.3,0,24140.0,11.7,0.75,,0.59,0.0,0,0.23227712510335186,,
11,2023-06-02,17.4,67,17.0,25,0.0,1014.9,0,24140.0,5.1,0.3,,48.4,0.0,0,0.019686710753912307,,
12,2023-06-02,17.1,86,18.2,43,0.0,1015.3,34,11220.0,3.9,0.7000000000000001,,10.7,0.0,0,0.18487454914134088,,
13,2023-06-02,21.1,78,22.9,11,0.0,1014.9,100,24140.0,4.4,0.65,,2.94,0.0,0,0.21900927471282344,,
14,2023-06-02,13.7,76,11.2,6,0.0,1020.4,0,24140.0,16.3,1.0,,11.11,0.0,0,0.18300031967675626,,
15,2023-06-02,14.3,87,13.9,39,0.0,1016.8,100,19860.0,7.4,0.7000000000000001,,0.92,0.0,0,0.22810359879763195,,
16,2023-06-02,22.4,73,24.0,16,0.0,1014.1,94,23940.0,7.3,0.55,,27.96,0.0,0,0.10896144869688756,,
17,2023-06-02,22.6,71,24.3,17,0.0,1014.1,95,20740.0,5.9,0.9500000000000001,,55.41,0.0,0,0.01109285666386022,,
18,2023-06-02,22.0,51,20.8,8,0.0,1015.5,96,24140.0,11.4,0.85,,0.75,0.0,0,0.23105940539472483,,
19,2023-06-02,19.6,82,20.9,20,0.0,1014.8,47,24140.0,6.5,0.2,,1.53,0.0,0,0.22523023409385778,,
