Code,1,2,3,4,5,6,7,8,9,10,11,12
01,2.58,1.47,2.04,0.33,0.96,2.89,1.93,3.47,3.08,1.91,2.58,4.15
02,2.58,1.47,2.04,0.33,0.96,2.89,1.93,3.47,3.08,1.91,2.58,4.15
03,2.09,2.12,2.97,2.28,3.94,1.54,0.47,1.83,3.1,4.04,2.42,3.34
04,0.53,0.71,3.32,1.52,3.51,2.8,1.39,0.58,5.08,4.38,6.47,3.65
05,1.11,1.39,5.34,1.38,5.04,2.41,1.84,1.97,3.77,4.38,7.1,4.11
06,1.62,1.33,7.26,1.31,3.89,2.23,2.45,1.72,4.44,5.25,9.44,1.75
07,1.5,2.76,5.35,2.01,4.03,2.73,0.29,0.55,4.74,4.38,4.34,2.5
08,4.82,2.07,3.07,0.83,1.91,3.8,3.02,3.62,2.82,2.01,2.63,3.96
09,4.27,2.92,1.47,2.27,3.74,4.1,0.61,2.81,5.83,6.48,3.84,1.92
10,2.74,2.91,3.18,0.63,1.3,2.8,5.27,2.0,2.19,3.46,3.05,4.99
11,1.32,0.92,1.76,1.11,1.66,1.52,0.2,0.92,4.73,7.25,2.1,1.07
12,1.67,1.89,2.93,1.0,4.94,2.32,0.58,1.39,4.14,6.86,1.79,4.04
13,0.29,1.54,3.86,0.07,2.26,0.91,0.02,0.0,2.09,3.44,3.38,1.55
14,4.39,0.77,0.89,0.43,1.25,1.27,0.02,0.64,1.7,1.1,3.23,3.27
15,1.56,1.69,2.65,1.85,4.7,1.83,0.4,2.3,3.74,3.1,2.35,4.8
16,2.54,1.84,1.86,1.64,1.74,2.68,0.5,0.52,2.61,2.6,1.45,4.56
17,2.53,1.13,0.99,1.19,1.28,2.99,0.3,0.42,2.26,1.46,1.72,4.85
18,2.85,1.43,2.43,0.54,1.21,2.08,1.19,0.67,2.65,4.45,2.3,3.7
19,1.87,1.75,2.35,1.14,4.48,1.88,0.4,0.35,2.94,4.9,2.16,2.92
21,1.89,2.52,3.18,2.0,2.9,3.62,3.13,1.79,3.91,3.45,3.63,3.91
22,4.28,0.84,0.65,1.47,0.98,2.08,0.11,0.9,2.51,3.05,1.36,2.95
23,2.22,2.25,2.82,1.77,3.04,2.62,0.7,0.5,4.21,4.85,2.52,3.34
24,1.99,1.26,2.08,1.83,3.09,2.29,0.35,0.47,2.89,3.61,1.93,2.79
25,2.89,6.34,5.58,4.37,6.77,5.55,6.66,3.52,5.32,4.08,3.08,5.67
26,2.61,4.18,4.28,2.9,5.88,1.61,1.12,0.18,4.53,4.45,9.07,1.95
27,2.94,0.85,1.12,0.48,1.23,1.62,0.31,0.53,1.31,0.46,2.85,3.7
28,2.15,1.04,1.36,0.43,1.0,1.67,0.22,1.69,1.36,0.74,2.29,4.47
29,4.61,2.54,1.45,1.89,0.88,3.41,0.18,2.23,2.94,3.95,1.29,4.88
2A,2.42,2.83,4.92,0.1,4.3,1.95,0.11,0.84,4.73,5.59,5.81,4.05
2B,3.99,2.83,5.58,0.62,4.38,3.07,2.51,0.65,6.35,3.65,5.2,3.11
30,0.46,3.45,4.38,0.1,2.74,1.2,0.06,0.03,2.81,4.44,2.42,3.19
31,5.23,4.14,1.43,2.05,4.11,1.45,0.92,1.14,1.23,4.78,4.19,2.15
32,1.67,1.12,0.94,1.63,3.2,2.64,1.7,0.4,1.42,2.84,2.64,2.96
33,2.11,1.02,1.69,2.24,2.01,1.21,0.33,1.1,1.42,2.1,1.46,2.56
34,0.72,1.27,3.39,0.33,2.4,0.18,0.0,0.76,2.35,9.25,2.36,2.31
35,4.93,0.76,0.74,0.87,1.5,2.15,0.0,0.97,3.83,2.86,2.27,3.39
