lien,departement
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=14&c=30&t=jpg&951.0913841025566,64
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=20&c=30&t=jpg&948.90292847446,11
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=44&c=30&t=jpg&740.4216667735162,17
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=45&c=30&t=jpg&924.1405044591537,54
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=46&c=30&t=jpg&876.2784052683418,74
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=49&c=30&t=jpg&15.848696253437211,34
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=53&c=30&t=jpg&858.4536943641502,54
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=56&c=30&t=jpg&62.619835534997506,42
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=87&c=30&t=jpg&662.9738561470806,57
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=93&c=30&t=jpg&329.0606030436966,33
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=117&c=30&t=jpg&743.8925629504805,75
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=118&c=30&t=jpg&265.32694115296886,59
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=132&c=30&t=jpg&129.74405217018614,74
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=136&c=30&t=jpg&62.41882012220101,64
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=137&c=30&t=jpg&441.1275415859829,41
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=139&c=30&t=jpg&840.2348427401625,54
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=141&c=30&t=jpg&345.5461690373874,47
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=142&c=30&t=jpg&814.8602809745415,85
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=145&c=30&t=jpg&183.14417520070668,29
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=150&c=30&t=jpg&707.9932384760637,2
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=155&c=30&t=jpg&531.4732232380401,30
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=160&c=30&t=jpg&870.9901412620638,50
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=161&c=30&t=jpg&340.75114189187815,85
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=166&c=30&t=jpg&911.7143575619049,14
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=172&c=30&t=jpg&616.6931311733783,2
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=185&c=30&t=jpg&520.2246887302018,61
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=186&c=30&t=jpg&567.9003933194039,63
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=191&c=30&t=jpg&617.9263156244489,05
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=197&c=30&t=jpg&701.1526583927346,05
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=199&c=30&t=jpg&956.6576035422904,05
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=200&c=30&t=jpg&977.008850177071,03
https://www.infoclimat.fr/cartes/getProxyWebcam.php?idw=201&c=30&t=jpg&47.403987016483626,05
