code,Date,Temperature (°C),Humidite_relative (%),Temperature_ressentie (°C),Probabilite_pluie (%),Precipitation (mm),Pression (0m)(hPa),Couverture_nuageuse (%),Visibility (m),Vitesse_vent (km/h),Index_UV,Air_quality (pm2.5),River_discharge (m3/s),Probabilité sècheresse,Probabilité canicule (%),Probabilité innondation,Indice,Etat_meteo
01,2023-05-13,13.2,91,12.3,45,0.1,1014.8,100,24140.0,9.8,0.15,5.5,2.68,10.416666666666668,0,0.2668933097807875,,
02,2023-05-13,15.0,82,14.5,73,0.0,1018.5,18,23580.0,7.4,0.3,12.4,2.48,0.0,0,0.26739158705800287,,
03,2023-05-13,12.3,90,10.8,43,0.4,1016.5,91,24140.0,11.5,0.2,4.2,0.76,10.152284263959393,0,0.274940192969196,,
04,2023-05-13,7.5,96,6.3,89,0.2,1015.4,100,24140.0,2.6,0.1,1.8,2.54,5.698005698005699,0,0.2680940400834265,,
05,2023-05-13,0.8,85,-2.9,78,0.1,1014.7,96,23120.0,8.9,0.15,1.7000000000000002,3.31,1.9841269841269844,0,0.2646400055848572,,
06,2023-05-13,11.3,85,10.4,85,0.0,1014.2,100,24140.0,4.2,0.05,2.2,10.55,0.0,0,0.23286672110014964,,
07,2023-05-13,10.8,79,9.4,65,0.0,1015.0,100,24140.0,5.4,0.15,4.7,1.03,0.0,0,0.27372324654214997,,
08,2023-05-13,13.9,87,13.2,70,0.0,1018.4,45,24140.0,9.0,0.25,12.2,190.51,0.0,0,0.5133558353864849,,
09,2023-05-13,5.8,99,3.5,92,2.1,1020.7,97,1080.0,8.0,0.0,2.8,2.13,56.14973262032086,0,0.26918862848086095,,
10,2023-05-13,14.8,85,13.7,63,0.0,1016.9,99,24140.0,12.1,0.25,9.3,0.88,0.0,0,0.27435567539400085,,
11,2023-05-13,10.9,95,8.2,53,0.6,1018.0,100,24140.0,18.9,0.05,3.1,43.74,36.144578313253014,0,0.0911134696013422,,
