Code,Temperature
01,33
02,12
03,30
04,28
05,15
06,32
07,26
08,31
09,7
10,17
11,16
12,29
13,11
14,22
15,2
16,3
17,37
18,27
19,33
21,21
22,6
23,33
24,17
25,37
26,20
27,5
28,11
29,28
2A,32
2B,27
30,29
31,2
32,33
33,20
34,3
35,21
36,19
37,26
38,15
39,9
40,22
41,25
42,19
43,5
44,37
45,34
46,20
47,8
48,9
49,19
50,7
51,31
52,3
53,13
54,33
55,36
56,2
57,12
58,27
59,14
60,36
61,29
62,38
63,14
64,27
65,4
66,23
67,1
68,11
69,5
70,12
71,19
72,20
73,22
74,13
75,33
76,38
77,37
78,16
79,2
80,14
81,31
82,38
83,15
84,13
85,34
86,13
87,39
88,33
89,7
90,11
91,27
92,14
93,2
94,17
95,14
971,20
972,20
973,29
974,13
976,19
